qid;univers;titre_fr;titre_en;sources;potentiel;accord;statut;langues_ecrites;ajoute;ecrit;publie;phrase;apercu
Q152872;terre;"";"Ball's Pyramid";"insolite+phare+saviez";10;2;publie;"fr";2026-09-03;;2026-09-05;"Sur ce pic océanique de 562 mètres, on a retrouvé vivant un insecte géant déclaré éteint depuis quatre-vingts ans.";"La pyramide de Ball (en anglais : Ball's Pyramid) est une île australienne située dans la mer de Tasman, au sud-est de l'île Lord Howe. Il s'agit d'un neck, les restes érodés d'une cheminée volcanique, culminant à 562 mètres d'altitude, d'une longueur d'environ 1 100 mètres sur 300 mètres de large."
Q133600;mysteres;"Banksy";"Banksy";"phare+saviez";10;0;ecrit;"fr";2026-09-03;2026-09-07;;"Il a fait s'autodétruire un tableau en pleine vente aux enchères, et nul ne sait toujours à qui appartenait la main sur la télécommande.";"Banksy est un artiste d'art urbain qui travaille sous pseudonyme. Son véritable nom et son identité exacte sont inconnus et font l'objet de spéculations."
Q18864;vivant;"Barge rousse";"Bar-tailed godwit";"phare+saviez";10;5;publie;"fr";2026-09-03;;2026-09-05;"Une jeune barge baguée a volé de l'Alaska à la Tasmanie sans se poser une seule fois : 13 560 kilomètres en onze jours sans manger ni boire.";"La Barge rousse (Limosa lapponica) est une espèce d'oiseaux Charadriiformes de la famille des Scolopacidae."
Q48328;arts;"Beowulf";"Beowulf";"phare+saviez";10;2;ecrit;"fr";2026-09-03;2026-09-07;;"L'unique manuscrit a brûlé sur ses bords en 1731 et s'effrite un peu plus à chaque fois qu'on le manipule.";"Le Beowulf (prononcé en vieil anglais [ˈbeːowuɫf]) est un poème épique allitératif en vieil anglais. C'est un texte majeur de la poésie vieil-anglaise : long de 3 182 vers, c'est le plus long texte poétique germanique du haut Moyen Âge connu."
Q211453;histoire;"Bête du Gévaudan";"Beast of Gévaudan";"insolite+phare";10;1;ecrit;"fr";2026-09-03;2026-09-07;;"Elle a tué plus de cent personnes en trois ans, mobilisé les dragons du roi, et personne ne sait toujours ce que c'était.";"La bête du Gévaudan est le surnom d'un ou plusieurs canidés ayant commis des attaques contre des humains en France entre le 30 juin 1764 et le 19 juin 1767. Le plus souvent mortelles, ces agressions (entre 88 et 124 selon certaines sources) ont surtout lieu dans le nord de l'ancien pays du Gévaudan, région d'élevage correspondant globalement à l'actuel département de la Lozère."
Q620634;histoire;"Bir Tawil";"Bir Tawil";"insolite+phare+saviez";10;5;publie;"fr";2026-09-03;;2026-09-04;"Ce territoire entre l'Égypte et le Soudan est refusé par les deux pays, parce que le revendiquer ferait perdre une région bien plus grande.";"Le Bir Tawil ou Bi'r Tawīl (en arabe égyptien : بير طويل Bīr Ṭawīl, /biːɾ tɑˈwiːl/ ; Biˈr بئر signifiant « puits », Ṭawīl طويل signifiant long ou profond) est une petite région de la frontière entre l'Égypte et le Soudan."
Q732267;mysteres;"Bloop";"Bloop";"insolite+phare+saviez";10;2;ecrit;"fr";2026-09-03;2026-09-07;;"Des micros sous-marins ont capté en 1997 un son entendu à cinq mille kilomètres de distance ; la réponse fut un iceberg qui se fissurait.";"Le bloop est un son d'ultra-basse fréquence détecté par le National Oceanic and Atmospheric Administration (NOAA) américain à plusieurs reprises durant l'été 1997 dans l'océan Pacifique au large de l'Amérique du Sud."
Q17069410;arts;"Bouteille de vin de Spire";"Speyer wine bottle";"insolite+phare+saviez";10;5;ecrit;"fr";2026-09-03;2026-09-07;;"Scellée vers l'an 325, la seule bouteille de vin romain encore liquide n'a jamais été ouverte, personne n'osant en briser le sceau.";"La bouteille de vin de Spire, qui contient probablement du vin, a été trouvée à proximité de Spire, en Allemagne, en 1867 et est qualifiée de « plus vieille bouteille de vin existante » au monde."
Q7514916;terre;"";"Bridgmanite";"phare+saviez";10;2;ecrit;"fr";2026-09-03;2026-09-07;;"Le minéral le plus abondant de la planète n'a reçu un nom qu'en 2014, faute d'avoir jamais pu en tenir un grain dans la main.";"La bridgmanite, une pérovskite silicatée, est le minéral le plus abondant sur Terre et le principal minéral du manteau inférieur terrestre."
Q12138;histoire;"Calendrier grégorien";"Gregorian calendar";"phare+saviez";10;5;ecrit;"fr";2026-09-03;2026-09-07;;"En octobre 1582, les catholiques se sont couchés le jeudi 4 et réveillés le vendredi 15; dix jours n'ont jamais existé.";"Le calendrier grégorien est un calendrier solaire conçu à la fin du XVIe siècle pour prendre en compte la dérive séculaire du calendrier julien alors en usage. À la demande du pape Grégoire XIII, des mathématiciens et des astronomes jésuites, dont Christophorus Clavius, préparaient les bases d'un nouveau calendrier depuis 1579."
Q1550228;histoire;"Catastrophe de Courrières";"Courrières mine disaster";"phare+saviez";10;6;ecrit;"fr";2026-09-03;2026-09-07;;"Onze cents mineurs sont morts en 1906, et treize hommes sont ressortis vivants après vingt jours sous terre, alors que les recherches avaient cessé.";"La catastrophe de Courrières est une catastrophe minière qui s'est produite entre Courrières et Lens, le samedi 10 mars 1906, faisant officiellement 1 099 morts."
Q386074;cosmos;"Catastrophe de Nedeline";"Nedelin catastrophe";"phare+saviez";10;2;publie;"fr";2026-09-03;;2026-09-05;"En 1960, une fusée s'enflamme sur son pas de tir avec les ingénieurs tout autour : une centaine de morts, tus pendant trente ans.";"La catastrophe de Nedeline, ou désastre de Nedeline, est un accident survenu le 24 octobre 1960 au cosmodrome de Baïkonour, dans la République socialiste soviétique kazakhe, en Union soviétique."
Q492386;mysteres;"Centralia (Pennsylvanie)";"Centralia, Pennsylvania";"insolite+phare+saviez";10;6;publie;"fr";2026-09-03;;2026-09-05;"Un feu de mine allumé en 1962 brûle toujours sous la ville ; il reste une poignée d'habitants et le code postal a été supprimé.";"Centralia est une ville fantôme du comté de Columbia, dans l'État de Pennsylvanie, aux États-Unis, aujourd’hui pratiquement abandonnée à la suite d'un incendie accidentel dans la mine de charbon souterraine s'étendant sous la ville, qui brûle depuis 1962 et ne s'éteint pas."
Q193330;mysteres;"Cercle de culture";"Crop circle";"insolite+phare";10;2;ecrit;"fr";2026-09-03;2026-09-07;;"Deux Anglais ont avoué en 1991 avoir tracé les premiers cercles de culture avec une planche et une corde, après quinze ans de mystère mondial.";"Un cercle de culture (traduction de la dénomination anglaise « crop circle »), ou parfois « agrogramme » ou « agroglyphe », est un vaste motif ou ensemble de motifs géométriques créés dans un champ de céréales (généralement de blé) par courbure et couchage des épis."
Q391632;histoire;"Cher Ami";"Cher Ami";"insolite+phare+saviez";10;3;ecrit;"fr";2026-09-03;2026-09-07;;"Un pigeon a livré le message qui a sauvé deux cents Américains encerclés en 1918, avec une patte arrachée et une balle dans la poitrine.";"Cher Ami est un pigeon voyageur donné par des colombophiles du Royaume-Uni, entraîné par des colombophiles américains, puis reversé à l'United States Army Signal Corps pour un usage en France lors de la Première Guerre mondiale."
Q1022918;arts;"Citadelle de Kowloon";"Kowloon Walled City";"insolite+phare+saviez";10;1;publie;"fr";2026-09-03;;2026-09-05;"Trente mille personnes vivaient dans un bloc bâti sans aucun architecte, où la lumière du jour n'atteignait jamais le sol.";"La citadelle de Kowloon (en chinois simplifié : 九龙城寨 ; chinois traditionnel : 九龍城寨 ; pinyin : Jiǔlóng Chéng Zhài ; cantonais Jyutping : gau2 lung4 sing4 zaai6), dans la péninsule de Kowloon, était une enclave chinoise au milieu de la colonie de Hong Kong, jusqu'à sa démolition au début des années 1990."
Q1414811;histoire;"Concile cadavérique";"Cadaver Synod";"insolite+phare+saviez";10;1;publie;"fr";2026-09-03;;2026-09-05;"Un pape déterré, rhabillé, assis sur un trône et jugé neuf mois après sa mort.";"Le concile cadavérique (en latin Synodus Horrenda) est une assemblée de prélats convoquée à Rome, en janvier 897, par le pape Étienne VI qui la préside, afin de juger à titre posthume le pape Formose."
Q2658232;arts;"Cristina Calderón";"Cristina Calderón";"phare+saviez";10;4;ecrit;"fr";2026-09-03;2026-09-07;;"Elle fut jusqu'en 2022 la dernière personne au monde à parler le yagan, la langue de la Terre de Feu.";"Cristina Calderón, née le 24 mai 1928 à Robalo sur l'île Navarino et morte le 16 février 2022 à Punta Arenas, est l'une des dernières représentantes du peuple yagan et la dernière locutrice native de la langue yagan, après la mort de sa sœur Úrsula en 2003, puis de sa belle-sœur Emelinda Acuña survenue le 12 octobre 2005."
Q48558;cosmos;"Dawn (sonde spatiale)";"Dawn (spacecraft)";"phare+saviez";10;3;ecrit;"fr";2026-09-03;2026-09-07;;"Grâce à ses moteurs ioniques, elle est la seule sonde à s'être mise en orbite autour de deux mondes différents.";"Dawn (« Aube » en anglais) est une sonde spatiale de la NASA, dont la mission consistait à étudier Vesta et Cérès, les deux principaux corps de la ceinture d'astéroïdes."
Q4205186;mysteres;"Disparition des enfants Beaumont";"Disappearance of the Beaumont children";"phare+saviez";10;6;ecrit;"fr";2026-09-03;2026-09-07;;"Trois enfants partis seuls à la plage un matin de 1966 à Adélaïde ; un pays entier cherche depuis soixante ans sans un indice décisif.";"Jane Nartare Beaumont (née le 10 septembre 1956), Arnna Kathleen Beaumont (née le 11 novembre 1958) et Grant Ellis Beaumont (né le 12 juillet 1961), collectivement désignés dans les médias comme les enfants Beaumont, sont trois sœurs et frère australiens qui ont disparu de la plage de Glenelg, près"
Q465338;mysteres;"Disque de Phaistos";"Phaistos Disc";"insolite+phare+saviez";10;3;ecrit;"fr";2026-09-03;2026-09-07;;"Deux cent quarante et un signes imprimés sur de l'argile il y a trois mille cinq cents ans. Toujours indéchiffrés.";"Le disque de Phaistos ou disque de Phaestos est un disque d'argile cuite découvert en 1908 par l'archéologue italien Luigi Pernier sur le site archéologique du palais minoen de Phaistos, en Crète."
Q254117;terre;"Eisriesenwelt";"Eisriesenwelt";"phare+saviez";10;2;ecrit;"fr";2026-09-03;2026-09-07;;"Quarante-deux kilomètres de grotte autrichienne dont la glace ne fond jamais, entretenue par un courant d'air qui ne souffle qu'en hiver.";"Eisriesenwelt (en allemand : Le monde des géants de glace) est une cavité souterraine formant une glacière naturelle située près de la ville de Werfen en Autriche dans le Land de Salzbourg, district de Sankt Johann im Pongau."
Q232505;arts;"Enheduana";"Enheduanna";"phare+saviez";10;3;ecrit;"fr";2026-09-03;2026-09-07;;"La première personne de l'histoire à signer un texte de son nom était une prêtresse sumérienne, il y a plus de quatre mille ans.";"Enheduana (mais, aussi Enheduanna, en sumérien En-hedu-ana, généralement traduit par « La grande prêtresse est l'ornement du Ciel ») est une princesse de la dynastie d'Akkad qui a vécu au XXIIIe siècle av."
Q8753;sciences;"Enrico Fermi";"Enrico Fermi";"phare+saviez";10;4;ecrit;"fr";2026-09-03;2026-09-07;;"Son Nobel de 1938 récompensait des éléments nouveaux qu'il n'avait jamais fabriqués : il avait en réalité cassé des noyaux sans s'en rendre compte.";"Enrico Fermi est un physicien italien naturalisé américain, né le 29 septembre 1901 à Rome et mort le 28 novembre 1954 à Chicago."
Q1356041;arts;"";"Ern Malley";"phare+saviez";10;1;a-ecrire;"";2026-09-03;;;"Deux poètes ont fabriqué en une après-midi un poète mort et ses vers pris au hasard ; la revue dupée ne s'en est jamais remise.";"Ernest Lalor Malley, connu sous le nom Ern Malley, est un poète fictif et la figure centrale du plus célèbre canular littéraire d'Australie, communément appelé canular Ern Malley ou affaire Ern Malley."
Q899222;mysteres;"Expérience de la goutte de poix";"Pitch drop experiment";"insolite+phare+saviez";10;3;ecrit;"fr";2026-09-03;2026-09-07;;"L'expérience la plus longue du monde : une goutte tombe tous les dix ans. Personne n'en avait jamais vu tomber une avant 2013.";"L'expérience de la goutte de poix est une expérience scientifique de longue durée destinée à mesurer l'écoulement d'un fragment de poix sur de nombreuses années."
Q502073;histoire;"Explosion d'Halifax";"Halifax Explosion";"phare+saviez";10;3;ecrit;"fr";2026-09-03;2026-09-07;;"En 1917 deux navires se sont frôlés dans un port canadien et ont produit la plus grande explosion humaine d'avant la bombe atomique.";"L'explosion d'Halifax est l'une des plus puissantes explosions non nucléaires de l'Histoire, survenue par accident à la suite de la collision de deux navires (dont l'un transportant de grosses quantités d'explosifs) le 6 décembre 1917 dans le port de la ville canadienne d'Halifax, en Nouvelle-Écosse."
Q816838;cosmos;"Face cachée de la Lune";"Far side of the Moon";"phare+saviez";10;4;ecrit;"fr";2026-09-03;2026-09-07;;"Elle n'a été vue par des yeux humains qu'en 1968, alors que des milliards d'humains regardaient l'autre face depuis toujours.";"La face cachée de la Lune est l'hémisphère de la Lune qui se situe en permanence du côté opposé à la Terre, l'autre étant nommé face visible de la Lune. En effet, un seul et même hémisphère de la Lune est visible depuis la Terre, car la Lune possède une période de rotation égale à sa période de révolution (27,321 7 jours), phénomène appelé rotation synchrone."
Q1161218;arts;"Fallen Astronaut";"Fallen Astronaut";"insolite+phare+saviez";10;4;ecrit;"fr";2026-09-03;2026-09-07;;"Une figurine d'aluminium de huit centimètres a été déposée en secret sur la Lune en 1971, à côté d'une liste de morts.";"Fallen Astronaut (de l'anglais, litt. « Astronaute tombé ») est une statuette en aluminium de 8,5 cm de haut, représentant de façon stylisée un astronaute dans sa combinaison spatiale."
Q2051704;esprit;"Faux souvenirs";"False memory";"insolite+phare";10;1;ecrit;"fr";2026-09-03;2026-09-07;;"Des millions de personnes se souviennent avec précision d'un logo, d'une réplique ou d'une mort qui n'ont jamais existé sous cette forme.";"Un faux souvenir est un phénomène psychologique qui se produit lorsqu'une personne se remémore un événement qui ne s'est pas réellement produit. L'idée de faux souvenirs remonte aux débuts de la psychanalyse avec Sigmund Freud et Pierre Janet."
Q833975;terre;"Ferdinandea";"Graham Island (Mediterranean Sea)";"insolite+phare+saviez";10;2;publie;"fr";2026-09-03;;2026-09-05;"Cette île sicilienne a surgi de la mer en 1831, a été revendiquée par trois pays, puis a coulé avant que le conflit ne soit tranché.";"Ferdinandea est une île éphémère créée par le volcan sous-marin Empédocle et faisant partie des champs Phlégréens de la mer de Sicile. Elle est située dans les eaux territoriales de l'Italie, entre la Sicile au nord-est et l'île de Pantelleria au sud-ouest."
Q223085;histoire;"";"Football War";"insolite+phare+saviez";10;5;publie;"fr";2026-09-03;;2026-09-04;"Un match de qualification pour la Coupe du monde 1969 a servi de détonateur à une guerre de cent heures entre le Salvador et le Honduras.";"La guerre de Cent Heures est un conflit qui opposa le Salvador et le Honduras en juillet 1969. Elle est surnommée « guerre du football », même si le football n’a été que le catalyseur et non la cause profonde de cette guerre."
Q433609;mysteres;"Frédéric Bourdin";"";"insolite+phare";10;2;publie;"fr";2026-09-03;;2026-09-05;"Ce Français de 23 ans aux yeux bruns s'est fait passer pour un adolescent américain disparu aux yeux bleus, et sa « famille » l'a hébergé cinq mois.";"Frédéric Bourdin, né le 13 juin 1974 à Nanterre (Hauts-de-Seine), surnommé « Le caméléon », est un usurpateur d'identités français. Il est également connu pour être un très grand manipulateur."
Q180381;sciences;"Fusion froide";"Cold fusion";"phare+saviez";10;2;ecrit;"fr";2026-09-03;2026-09-07;;"En 1989, deux chimistes ont annoncé en conférence de presse une énergie illimitée dans un bocal ; des centaines de laboratoires n'ont jamais rien reproduit.";"« Fusion froide » est une expression médiatique qui désigne des réactions supposées nucléaires à température et pression ambiantes. La plus connue est celle qui semble être une fusion nucléaire réalisée selon des techniques dérivées d'une expérience réalisée par Martin Fleischmann et Stanley Pons en mars 1989."
Q18207282;arts;"";"Future Library project";"insolite+phare+saviez";10;1;publie;"fr";2026-09-03;;2026-09-05;"Cent écrivains déposent un texte scellé jusqu'en 2114, qui sera imprimé sur une forêt norvégienne plantée exprès pour lui.";"La « bibliothèque du futur » (anglais : Future Library, norvégien : Framtidsbiblioteket) est un projet mené par l'artiste écossaise Katie Paterson (en) : celle-ci prévoit d'accumuler 100 manuscrits pour les éditer et les publier en 2114."
Q2620036;mysteres;"Géoglyphes de Nazca";"Nazca lines";"insolite+phare+saviez";10;3;publie;"fr";2026-09-03;;2026-09-04;"Des figures de plusieurs centaines de mètres que personne au sol ne peut voir en entier, tracées mille cinq cents ans avant le premier avion.";"Les géoglyphes de Nazca (ou Nasca), appelés communément lignes de Nazca, sont de grandes figures tracées sur le sol représentant des animaux stylisés ou de simples lignes longues de plusieurs kilomètres, visibles dans le désert de Nazca dans le sud du Pérou."
Q958391;mysteres;"Georgia Guidestones";"Georgia Guidestones";"insolite+phare+saviez";10;4;publie;"fr";2026-09-03;;2026-09-05;"Un inconnu sous pseudonyme a payé en 1979 un monument de granit gravé de dix préceptes en huit langues ; une explosion l'a détruit en 2022.";"Les Georgia Guidestones, en français pierres guides de Géorgie, appelées aussi le « Stonehenge américain », étaient un monument en granite érigé le 22 mars 1980 près d'Elberton en Géorgie, aux États-Unis, et détruit le 6 juillet 2022."
Q43284;vivant;"Ginkgo biloba";"Ginkgo biloba";"phare+saviez";10;0;ecrit;"fr";2026-09-03;2026-09-07;;"Six de ces arbres poussaient à moins de deux kilomètres de l'explosion d'Hiroshima : ils ont bourgeonné dès le printemps suivant et sont toujours debout.";"Le Ginkgo, aussi appelé arbre aux quarante écus, arbre aux mille écus, ou encore arbre aux abricots d'argent (Ginkgo biloba L., 1771) (银杏 yínxìng en chinois), est une espèce d'arbre gymnosperme et la seule représentante actuelle de la famille des Ginkgoaceae."
Q40605;sciences;"Grand collisionneur de hadrons";"Large Hadron Collider";"phare+saviez";10;2;ecrit;"fr";2026-09-03;2026-09-07;;"La machine la plus complexe jamais construite a été mise à l'arrêt une fois par une fouine et une autre fois par un morceau de pain tombé d'un oiseau.";"Le Grand collisionneur de hadrons (en anglais : Large Hadron Collider — LHC) est un accélérateur de particules mis en fonction en 2008 au CERN et situé dans la région frontalière entre la France et la Suisse, entre la périphérie nord-ouest de Genève et le pays de Gex (France)."
Q1129089;histoire;"Grande inondation de mélasse de Boston";"Great Molasses Flood";"insolite+phare+saviez";10;1;publie;"fr";2026-09-03;;2026-09-05;"Une vague de mélasse de huit mètres à trente-cinq kilomètres-heure. Vingt et un morts.";"La grande inondation de mélasse de Boston (en anglais : Boston Molasses Disaster, Great Molasses Flood ou The Great Boston Molasses Tragedy) est une catastrophe industrielle qui eut lieu le 15 janvier 1919 dans le North End de Boston (Massachusetts, États-Unis)."
Q748231;vivant;"Graneledone boreopacifica";"";"phare+saviez";10;1;publie;"fr";2026-09-03;;2026-09-05;"Une pieuvre observée au fond du Pacifique a couvé ses œufs pendant cinquante-trois mois sans jamais manger, puis est morte à leur éclosion.";"Graneledone boreopacifica est une espèce de pieuvres de la famille des Octopodidae. L’espèce est présente dans la zone bathyale des océans Pacifique et Atlantique ; des individus ont été repérés jusqu’à 3 000 mètres de profondeur."
Q380146;arts;"";"Graun im Vinschgau";"insolite+phare";10;2;ecrit;"fr";2026-09-03;2026-09-07;;"Un clocher roman émerge seul d'un lac du Tyrol du Sud, dernier vestige d'un village noyé sous les eaux en 1950.";"Curon Venosta (en allemand, Graun im Vinschgau) est une commune italienne d'environ 2 400 habitants située dans la province autonome de Bolzano dans la région du Trentin-Haut-Adige, au nord-est de l'Italie."
Q1054482;histoire;"Guerre de Trois cent trente-cinq Ans";"Three Hundred and Thirty Five Years' War";"insolite+phare+saviez";10;3;ecrit;"fr";2026-09-03;2026-09-07;;"Les Pays-Bas et l'archipel des Scilly sont restés officiellement en guerre de 1651 à 1986, sans un seul coup de feu tiré.";"La guerre de Trois cent trente-cinq Ans (anglais : Three Hundred and Thirty Five Years' War, néerlandais : Driehonderdvijfendertigjarige Oorlog) est une guerre entre les Provinces-Unies (devenues les Pays-Bas) et les Sorlingues (situées au sud-ouest de la Cornouailles)."
Q730222;sciences;"";"Ham sandwich theorem";"insolite+phare+saviez";10;3;ecrit;"fr";2026-09-03;2026-09-07;;"Où qu'on jette le pain, le jambon et le fromage dans la pièce, un unique coup de couteau plat les coupe tous les trois en deux.";"En mathématiques, le théorème du sandwich au jambon, ou théorème de Stone-Tukey, s'exprime, de façon imagée, comme la possibilité de couper en quantités égales, d'un seul coup de couteau, le jambon, le fromage et le pain d'un sandwich."
Q312722;mysteres;"Harold Holt";"Harold Holt";"insolite+phare+saviez";10;5;publie;"fr";2026-09-03;;2026-09-04;"Le Premier ministre australien se baigne un matin de 1967 et ne revient pas ; on a baptisé une piscine municipale en sa mémoire.";"Harold Edward Holt, né le 5 août 1908 à Sydney (Nouvelle-Galles du Sud) et présumé mort le 17 décembre 1967, est un homme d'État australien, dix-septième Premier ministre d'Australie en 1966."
Q44822;histoire;"Henry Gunther";"";"insolite+phare+saviez";10;4;ecrit;"fr";2026-09-03;2026-09-07;;"Un soldat américain a chargé un poste de mitrailleuses à dix heures cinquante-neuf le 11 novembre 1918, et les Allemands lui faisaient signe de reculer.";"Henry Nicholas Gunther, né le 6 juin 1895 à Baltimore aux États-Unis et mort au combat le 11 novembre 1918 à Chaumont-devant-Damvillers en France, est un soldat américain qui a combattu durant la Première Guerre mondiale."
Q295162;histoire;"Hirō Onoda";"Hiroo Onoda";"insolite+phare+saviez";10;7;publie;"fr";2026-09-03;;2026-09-04;"Il a continué la Seconde Guerre mondiale seul dans la jungle jusqu'en 1974, refusant de croire qu'elle était finie.";"Hirō Onoda (小野田 寛郎, Onoda Hirō), né le 19 mars 1922 (an 11 de l'ère Taishō) dans le village de Kamekawa (aujourd'hui situé dans la ville de Kainan) dans la préfecture de Wakayama au Japon, et mort le 16 janvier 2014, est un soldat japonais en poste sur l'île de Lubang, dans les Philippines, qui refu"
Q216876;terre;"";"Hoba meteorite";"insolite+phare+saviez";10;5;ecrit;"fr";2026-09-03;2026-09-07;;"Soixante tonnes de fer tombées en Namibie n'ont jamais été déplacées : c'est le plus gros bloc de métal naturel connu à la surface.";"La météorite d'Hoba, située sur la ferme d'Hoba West, près de Grootfontein, en Namibie, est la plus grande météorite connue (60 tonnes en un seul morceau) et le plus gros bloc naturel de fer connu à la surface de la Terre."
Q3143318;terre;"";"Hunga Tonga–Hunga Haʻapai";"insolite+phare";10;2;ecrit;"fr";2026-09-03;2026-09-07;;"L'explosion de 2022 a projeté un panache à cinquante-sept kilomètres d'altitude et son onde de choc a fait plusieurs fois le tour du globe.";"Hunga Tonga est un volcan sous-marin du royaume des Tonga dans le sud-ouest de l'océan Pacifique. En 2015, une éruption relie les deux îles Hunga Tonga et Hunga Ha'apai par un isthme."
Q738556;terre;"";"Iceberg B-15";"phare+saviez";10;4;ecrit;"fr";2026-09-03;2026-09-07;;"Un iceberg plus grand que la Jamaïque s'est détaché en 2000 et a dérivé pendant dix-huit ans avant de fondre.";"L'iceberg B-15 est un iceberg détaché de la barrière de glace de Ross en Antarctique en l'an 2000. C'est le plus grand iceberg dont l’existence ait été jamais enregistrée (à la date de mai 2021) avec une superficie de plus de 11 000 km2."
Q59736;sciences;"Ignace Philippe Semmelweis";"Ignaz Semmelweis";"insolite+phare+saviez";10;2;publie;"fr";2026-09-03;;2026-09-04;"Il a divisé par dix la mortalité des accouchées en imposant le lavage des mains, et ses confrères l'ont fait interner.";"Ignaz Philipp Semmelweis (en hongrois : Semmelweis Ignác Fülöp), né le 1er juillet 1818 à Buda (qui fait aujourd'hui partie de Budapest en Hongrie) et mort le 13 août 1865 à Döbling près de Vienne, est un médecin obstétricien hongrois qui œuvra pour l'hygiène des mains."
