n;univers;univers_nom;titre;pourquoi;refuser
131;arts;"Arts & Civilisations";"Grande mosquée de Djenné";"Le plus grand édifice de terre du monde est entièrement recrépi à la main par toute la ville en une seule journée de fête.";
132;arts;"Arts & Civilisations";"Great Stalacpipe Organ";"Un orgue dont les tuyaux sont les stalactites d'une grotte entière, frappées par des marteaux répartis sur plusieurs hectares.";
133;arts;"Arts & Civilisations";"Grotte Chauvet";"Des lions et des rhinocéros peints il y a trente-six mille ans, scellés par un éboulement, avec des pattes multipliées pour figurer la course.";
134;arts;"Arts & Civilisations";"Grotte Cosquer";"On n'atteint ces peintures que par un tunnel de trente-sept mètres sous la mer : la montée des eaux a noyé l'entrée.";
135;arts;"Arts & Civilisations";"Grottes de Barabar";"Le granit y est poli comme un miroir et un simple mot prononcé à l'intérieur continue de résonner plusieurs secondes.";
136;arts;"Arts & Civilisations";"Grottes de Mogao";"Un moine a ouvert par hasard une bibliothèque murée depuis mille ans : cinquante mille manuscrits, dont le plus vieux livre imprimé daté.";
137;arts;"Arts & Civilisations";"Guernica";"La tapisserie d'après Guernica accrochée à l'ONU a été masquée par un rideau bleu en 2003, le jour d'un discours sur l'Irak.";
138;arts;"Arts & Civilisations";"Guerriers étrusques du Metropolitan";"Exposés quarante ans comme chefs-d'œuvre antiques, ils avaient été modelés par des frères italiens qui avaient oublié un pouce.";
139;arts;"Arts & Civilisations";"Göbekli Tepe";"Des chasseurs-cueilleurs ont dressé des piliers sculptés de plusieurs tonnes six mille ans avant Stonehenge, puis ont tout enseveli volontairement.";
140;arts;"Arts & Civilisations";"Han van Meegeren";"Pour prouver qu'il n'avait pas vendu un vrai Vermeer aux nazis, il a dû peindre un faux Vermeer devant ses juges.";
141;arts;"Arts & Civilisations";"Hangeul";"Un roi coréen a conçu un alphabet dont chaque lettre dessine la position de la langue dans la bouche, contre l'avis de ses lettrés.";
142;arts;"Arts & Civilisations";"Harmonica de verre";"On l'accusait de rendre les auditrices folles et d'attirer les morts ; plusieurs villes allemandes ont fini par l'interdire.";
143;arts;"Arts & Civilisations";"Hashima";"Une île-usine parmi les plus densément peuplées du monde a été vidée en quelques semaines, laissant vaisselle et affiches en place.";
144;arts;"Arts & Civilisations";"Histoire de la Révolution française (Carlyle)";"Une servante a jeté au feu le seul manuscrit du premier tome, prise pour du papier sale ; l'auteur a tout recommencé.";
145;arts;"Arts & Civilisations";"Homme-lion de Hohlenstein-Stadel";"Une statuette d'homme à tête de lion, vieille de quarante mille ans, recollée à partir de centaines d'éclats sur soixante-dix ans.";
146;arts;"Arts & Civilisations";"Hydraule";"L'orgue de l'Antiquité fonctionnait à l'eau et accompagnait, entre autres, les combats de gladiateurs dans l'arène.";
147;arts;"Arts & Civilisations";"Hymne à Ninkasi";"Le plus vieil hymne sumérien à la déesse de la bière est en réalité une recette de brassage, refaite depuis par des brasseurs.";
148;arts;"Arts & Civilisations";"Hymnes hourrites";"Une tablette d'argile syrienne de 1400 av. J.-C. porte des instructions d'accordage : c'est la plus vieille partition connue.";
149;arts;"Arts & Civilisations";"Hákarl";"Le requin du Groenland est toxique frais : les Islandais l'enfouissent des semaines, puis le sèchent des mois pour le rendre comestible.";
150;arts;"Arts & Civilisations";"Indiana Bell Building";"En 1930, un immeuble de huit étages a été pivoté de quatre-vingt-dix degrés sans que les employés cessent de travailler à l'intérieur.";
151;arts;"Arts & Civilisations";"Inscription de Behistun";"Pour copier ce texte perse, un officier britannique est resté des mois suspendu à une falaise, à cent mètres du sol.";
152;arts;"Arts & Civilisations";"Institut d'Égypte";"Deux siècles d'archives, dont un exemplaire de la Description de l'Égypte, ont brûlé lors d'une émeute au Caire en 2011.";
153;arts;"Arts & Civilisations";"Interrobang";"Un publicitaire a inventé en 1962 un signe fondant point d'interrogation et d'exclamation, et quelques machines à écrire l'ont porté.";
154;arts;"Arts & Civilisations";"Ise-jingū";"Le sanctuaire est démoli et rebâti à l'identique tous les vingt ans depuis treize siècles, sur un terrain jumeau juste à côté.";
155;arts;"Arts & Civilisations";"Ithkuil";"Cette langue conçue pour exprimer la pensée avec une précision totale est si difficile que son inventeur lui-même ne la parle pas.";
156;arts;"Arts & Civilisations";"Jacques Jaujard";"En quelques jours d'août 1939, il a fait vider le Louvre et disperser ses chefs-d'œuvre dans des châteaux de province.";
157;arts;"Arts & Civilisations";"Jaune indien";"Le pigment venait de l'urine de vaches nourries exclusivement de feuilles de manguier et privées d'eau jusqu'à l'épuisement.";
158;arts;"Arts & Civilisations";"Jeu de balle mésoaméricain";"La balle de caoutchouc pesait plusieurs kilos, le terrain était un lieu sacré, et la partie pouvait s'achever par un sacrifice humain.";
159;arts;"Arts & Civilisations";"Jeu royal d'Ur";"Les règles d'un jeu de plateau vieux de quatre mille cinq cents ans ont été retrouvées gravées sur une tablette : on y rejoue aujourd'hui.";
160;arts;"Arts & Civilisations";"Kailâsanâtha (Ellora)";"Ce temple a été creusé de haut en bas dans une seule falaise, en évacuant deux cent mille tonnes de roche sans rien pouvoir corriger.";
161;arts;"Arts & Civilisations";"Kimi ga yo";"Les paroles de l'hymne japonais sont un poème du Xe siècle, d'abord mis en musique par un Anglais dont la version fut jugée trop peu japonaise.";
162;arts;"Arts & Civilisations";"Kinkaku-ji";"Le Pavillon d'or a été incendié en 1950 par un jeune moine qui ne supportait pas sa beauté, et le procès a inspiré un roman célèbre.";
163;arts;"Arts & Civilisations";"Kiruna";"Une ville suédoise entière, église en bois comprise, est déplacée de plusieurs kilomètres parce que la mine sous ses pieds la fait s'effondrer.";
164;arts;"Arts & Civilisations";"Klingon";"Hamlet a été traduit dans une langue créée pour une série télévisée, et quelques enfants l'ont apprise comme langue maternelle.";
165;arts;"Arts & Civilisations";"Kolmanskop";"Le sable du désert de Namibie est monté jusqu'aux fenêtres des salons d'une ville diamantifère abandonnée en pleine prospérité.";
166;arts;"Arts & Civilisations";"Kowloon Walled City";"Trente mille personnes vivaient dans un bloc bâti sans aucun architecte, où la lumière du jour n'atteignait jamais le sol.";
167;arts;"Arts & Civilisations";"Kuşköy";"Dans ce village turc, on se parle en sifflant d'un versant à l'autre, et le cerveau traite ces sifflements exactement comme des mots.";
168;arts;"Arts & Civilisations";"L'Angélus";"Une radiographie a confirmé l'intuition de Dalí : sous le panier de pommes de terre, Millet avait d'abord peint un petit cercueil.";
169;arts;"Arts & Civilisations";"L'Art de la fugue";"La dernière fugue de Bach s'interrompt net au milieu d'une mesure, juste après qu'il a signé son nom en notes de musique.";
170;arts;"Arts & Civilisations";"L'Enfer (Clouzot)";"Le tournage s'est effondré en trois semaines, laissant des heures de rushes hallucinés que personne n'a jamais pu monter.";
